Census-Value,Correlation,n_routes,n_stops,n_trips,n_days,height_km,width_km,num_service_days,stop_spatial_density,trip_temporal_density,route_trip_avg
Population2016,Pearson,***,***,***,***,,,,***,***,
Population2016,Spearman,**,***,**,***,,,**,***,**,
Population2011,Pearson,***,***,***,***,,,,***,***,
Population2011,Spearman,**,***,**,***,,,**,***,**,
PopulationPercentChange,Pearson,,,,,,,,,,
PopulationPercentChange,Spearman,,,,,,,,,,
TotalPrivateDwellings2016,Pearson,***,***,***,***,,,,***,***,
TotalPrivateDwellings2016,Spearman,**,**,**,***,,,*,***,*,
TotalPrivateDwellings2011,Pearson,***,***,***,***,,,,***,***,
TotalPrivateDwellings2011,Spearman,**,**,**,***,,,*,***,*,
TotalPrivateDwellingsPercentChange,Pearson,,,,,,,,,,
TotalPrivateDwellingsPercentChange,Spearman,,,,,,,*,,,
PrivateDwellingsOccupiedByUsualResidents2016,Pearson,***,***,***,***,,,,***,***,
PrivateDwellingsOccupiedByUsualResidents2016,Spearman,**,**,**,***,,,*,***,**,
PrivateDwellingsOccupiedByUsualResidents2011,Pearson,***,***,***,***,,,,***,***,
PrivateDwellingsOccupiedByUsualResidents2011,Spearman,**,**,**,***,,,*,***,*,
PrivateDwellingsOccupiedByUsualResidentsPercentChange,Pearson,,,,,,,,,,
PrivateDwellingsOccupiedByUsualResidentsPercentChange,Spearman,,,,,,,,,,
LandAreaInSquareKilometres2016,Pearson,,,,,,,,,,
LandAreaInSquareKilometres2016,Spearman,,,,,,,*,*,,
PopulationDensityPerSquareKilometre2016,Pearson,***,***,***,***,,,,**,***,**
PopulationDensityPerSquareKilometre2016,Spearman,**,***,***,***,,,,**,***,**
NationalPopulationRank2016,Pearson,*,*,,,,,,***,,
NationalPopulationRank2016,Spearman,**,***,**,***,,,**,***,**,
ProvincialTerritorialPopulationRank2016,Pearson,**,*,,,*,*,,***,,
ProvincialTerritorialPopulationRank2016,Spearman,**,**,*,***,,,,***,,